Crop_suitability,Texture,Slope,Erosion,Gravel,Rocky,Drainage,Depth,LCC,Temperature,Rainfall,pH
Castor_S1,l,A,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,l,A,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,l,B,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,l,B,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,scl,A,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,scl,A,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,scl,B,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,scl,B,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,sil,A,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,sil,A,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,sil,B,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,sil,B,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,cl,A,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,cl,A,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,cl,B,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,cl,B,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,sl,A,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,sl,A,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S1,sl,B,A,A,A,A,A,I,26-32,600-750,6.5-7.5
Castor_S1,sl,B,A,A,A,A,B,I,26-32,600-750,6.5-7.5
Castor_S2,sicl,C,B,B,B,B,D,II,"24-25,33-35",400-600,"5.0-6.4,7.6-8.0"
Castor_S2,sic,C,B,B,B,B,D,II,"24-25,33-35",400-600,"5.0-6.4,7.6-8.0"
Castor_S2,sc,C,B,B,B,B,D,II,"24-25,33-35",400-600,"5.0-6.4,7.6-8.0"
