Crop_suitability,Texture,Slope,Erosion,Gravel,Rocky,Drainage,Depth,LCC,Temperature,Rainfall,LGP,pH
Castor_S1,l,A,A,A,A,A,A,,,,,
Castor_S1,l,A,A,A,A,A,B,,,,,
Castor_S1,l,B,A,A,A,A,A,,,,,
Castor_S1,l,B,A,A,A,A,B,,,,,
Castor_S1,scl,A,A,A,A,A,A,,,,,
Castor_S1,scl,A,A,A,A,A,B,,,,,
Castor_S1,scl,B,A,A,A,A,A,,,,,
Castor_S1,scl,B,A,A,A,A,B,,,,,
Castor_S1,sil,A,A,A,A,A,A,,,,,
Castor_S1,sil,A,A,A,A,A,B,,,,,
Castor_S1,sil,B,A,A,A,A,A,,,,,
Castor_S1,sil,B,A,A,A,A,B,,,,,
Castor_S1,cl,A,A,A,A,A,A,,,,,
Castor_S1,cl,A,A,A,A,A,B,,,,,
Castor_S1,cl,B,A,A,A,A,A,,,,,
Castor_S1,cl,B,A,A,A,A,B,,,,,
Castor_S1,sl,A,A,A,A,A,A,,,,,
Castor_S1,sl,A,A,A,A,A,B,,,,,
Castor_S1,sl,B,A,A,A,A,A,,,,,
Castor_S1,sl,B,A,A,A,A,B,,,,,
Castor_S2,sicl,C,B,B,B,B,D,,,,,
Castor_S2,sic,C,B,B,B,B,D,,,,,
Castor_S2,sc,C,B,B,B,B,D,,,,,
Castor_S2,c,C,B,B,B,B,D,,,,,
Castor_S3,ls,D,C,C,C,C,C,,,,,
Castor_S3,c,D,C,C,C,C,C,,,,,
Castor_N,s,E,,,,C,E,,,,,
Groundnut_S1,ls,A,A,A,A,A,A,,,,,
Groundnut_S1,ls,A,A,A,A,A,B,,,,,
Groundnut_S1,ls,B,A,A,A,A,A,,,,,
Groundnut_S1,ls,B,A,A,A,A,B,,,,,
Groundnut_S1,sl,A,A,A,A,A,A,,,,,
Groundnut_S1,sl,A,A,A,A,A,B,,,,,
Groundnut_S1,sl,B,A,A,A,A,A,,,,,
Groundnut_S1,sl,B,A,A,A,A,B,,,,,
Groundnut_S1,sil,A,A,A,A,A,A,,,,,
Groundnut_S1,sil,A,A,A,A,A,B,,,,,
Groundnut_S1,sil,B,A,A,A,A,A,,,,,
Groundnut_S1,sil,B,A,A,A,A,B,,,,,
Groundnut_S1,l,A,A,A,A,A,A,,,,,
Groundnut_S1,l,A,A,A,A,A,B,,,,,
Groundnut_S1,l,B,A,A,A,A,A,,,,,
Groundnut_S1,l,B,A,A,A,A,B,,,,,
