Village,Texture,Slope,Slope_code,Erosion,Erosion_code,Gravel,Gravel_code,Rocky_leg,Rocky_code,Drinage,Drinage_code,Depth,Depth_code,LCC,Area,obj_id
Hadonahalli,scl,Very gently sloping (1-3%),B,Slight erosion,A,Non gravel (<15%),A,Non Rocky,A,Well drained,A,Very deep (>150 cm),A,I,131.6093975,113
Hadonahalli,scl,Very gently sloping (1-3%),B,Slight erosion,A,Non gravel (<15%),A,Non Rocky,A,Well drained,A,Deep (100-150 cm),B,I,33.06218518,112
Hadonahalli,sl,Very gently sloping (1-3%),B,Slight erosion,A,Non gravel (<15%),A,Non Rocky,A,Well drained,A,Very deep (>150 cm),A,I,43.69021557,156
Hadonahalli,scl,Gently sloping (3-5%),C,Moderate erosion,B,Gravelly (15-35%),B,Non Rocky,A,Well drained,A,Very deep (>150 cm),A,I,34.2378607,165
Hadonahalli,scl,Very gently sloping (1-3%),B,Slight erosion,A,Non gravel (<15%),A,Non Rocky,A,Moderately well drained,A,Very deep (>150 cm),A,II,39.93201434,111
Hadonahalli,sl,Very gently sloping (1-3%),B,Slight erosion,A,Non gravel (<15%),A,Non Rocky,A,Moderately well drained,A,Very deep (>150 cm),A,II,34.80805679,149
Hadonahalli,scl,Very gently sloping (1-3%),B,Slight erosion,A,Non gravel (<15%),A,Non Rocky,A,Moderately well drained,A,Very deep (>150 cm),A,II,31.83255722,164
Hadonahalli,ls,Level to nearly level (0-1%),A,Slight erosion,A,Non gravel (<15%),A,Non Rocky,A,Well drained,A,Very deep (>150 cm),A,II,35.45878922,110
Hadonahalli,sc,Very gently sloping (1-3%),B,Slight erosion,A,Non gravel (<15%),A,Non Rocky,A,Moderately well drained,A,Very deep (>150 cm),A,II,56.07357102,142
Hadonahalli,Water body,Water body,Water body,Water body,Water body,Water body,Water body,Water body,Water body,Water body,Water body,Water body,Water body,Water body,58.8970687,141
Hadonahalli,sc,Very gently sloping (1-3%),B,Slight erosion,A,Non gravel (<15%),A,Non Rocky,A,Moderately well drained,A,Very deep (>150 cm),A,II,57.46136831,73
Hadonahalli,sl,Very gently sloping (1-3%),B,Slight erosion,A,Non gravel (<15%),A,Non Rocky,A,Well drained,A,Very deep (>150 cm),A,I,27.4768898,114
Hadonahalli,scl,Very gently sloping (1-3%),B,Slight erosion,A,Non gravel (<15%),A,Non Rocky,A,Well drained,A,Very deep (>150 cm),A,I,102.1688727,171
Hadonahalli,ls,Very gently sloping (1-3%),B,Slight erosion,A,Gravelly (15-35%),B,Non Rocky,A,Well drained,A,Deep (100-150 cm),B,I,25.48008702,172
Hadonahalli,sl,Gently sloping (3-5%),C,Moderate erosion,B,Gravelly (15-35%),B,Non Rocky,A,Well drained,A,Very deep (>150 cm),A,II,10.96785673,173
Hadonahalli,sl,Very gently sloping (1-3%),B,Slight erosion,A,Non gravel (<15%),A,Non Rocky,A,Moderately well drained,A,Very deep (>150 cm),A,II,19.14251187,91
Hadonahalli,sl,Gently sloping (3-5%),C,Moderate erosion,B,Non gravel (<15%),A,Rocky (2-10%),B,Well drained,A,Shallow (25-50 cm),Shallow (25-50 cm),III,7.081138043,66
Hadonahalli,Habitation,Habitation,Habitation,Habitation,Habitation,Habitation,Habitation,Habitation,Habitation,Habitation,Habitation,Habitation,Habitation,Habitation,3.553637222,68
Hadonahalli,sc,Gently sloping (3-5%),C,Moderate erosion,B,Non gravel (<15%),A,Rocky (2-10%),B,Well drained,A,Deep (100-150 cm),B,I,24.4076268,69
Hadonahalli,sl,Gently sloping (3-5%),C,Moderate erosion,B,Non gravel (<15%),A,Rocky (2-10%),B,Moderately well drained,A,Very deep (>150 cm),A,II,17.44749984,28
Hadonahalli,sl,Gently sloping (3-5%),C,Moderate erosion,B,Non gravel (<15%),A,Rocky (2-10%),B,Moderately well drained,A,Very deep (>150 cm),A,II,16.14442822,29
Hadonahalli,sl,Moderately sloping (5-10%),D,Severe erosion,C,Non gravel (<15%),A,Extremly rocky (25-50%),C,Well drained,A,Deep (100-150 cm),B,II,18.13019738,30
Hadonahalli,sl,Gently sloping (3-5%),C,Moderate erosion,B,Non gravel (<15%),A,Rocky (2-10%),B,Well drained,A,Deep (100-150 cm),B,I,10.7985116,31
Hadonahalli,sl,Very gently sloping (1-3%),B,Slight erosion,A,Non gravel (<15%),A,Non Rocky,A,Well drained,A,Very deep (>150 cm),A,I,13.56653108,40
Hadonahalli,scl,Very gently sloping (1-3%),B,Slight erosion,A,Non gravel (<15%),A,Non Rocky,A,Moderately well drained,A,Very deep (>150 cm),A,II,8.744501833,41
Hadonahalli,sl,Very gently sloping (1-3%),B,Slight erosion,A,Non gravel (<15%),A,Non Rocky,A,Moderately well drained,A,Very deep (>150 cm),A,II,39.57506615,44
Hadonahalli,ls,Level to nearly level (0-1%),A,Slight erosion,A,Non gravel (<15%),A,Non Rocky,A,Well drained,A,Very deep (>150 cm),A,II,25.03967732,134
